"title","speaker","scripture","date","videoURL","audioURL"
"You Are Qualified","Pastor Walter Branch","2 Corinthians 3:18","2017-03-12T10:30:00","https://gwc-s3.s3.amazonaws.com/2814/9148/2704/03-12-17.mp4","https://gwc-s3.s3.amazonaws.com/8514/9148/2495/03-12-17_audio.mp3"
"You Are Qualified","Pastor Walter Branch","2 Corinthians 3:18","2017-03-12T10:30:00","https://gwc-s3.s3.amazonaws.com/2814/9148/2704/03-12-17.mp4","https://gwc-s3.s3.amazonaws.com/4114/9148/4886/03-12-17_audio.mp3"
"He Came","Pastor Allen Wickey","John 3:17; 1:11","2017-03-05T10:30:00","https://gwc-s3.s3.amazonaws.com/6414/9148/2493/03-05-17.mp4","https://gwc-s3.s3.amazonaws.com/6514/9148/2480/03-05-17_audio.mp3"
"He Came","Pastor Allen Wickey","John 3:17; 1:11","2017-03-05T10:30:00","https://gwc-s3.s3.amazonaws.com/6414/9148/2493/03-05-17.mp4","https://gwc-s3.s3.amazonaws.com/6714/9148/4849/03-05-17_audio.mp3"
"There is a Someday","Pastor Walter Branch","Exodus 13:17-18","2017-02-26T10:30:00","https://gwc-s3.s3.amazonaws.com/5214/9148/2483/02-26-17.mp4","https://gwc-s3.s3.amazonaws.com/6714/9148/2462/02-26-17_audio.mp3"
"There is a Someday","Pastor Walter Branch","Exodus 13:17-18","2017-02-26T10:30:00","https://gwc-s3.s3.amazonaws.com/5214/9148/2483/02-26-17.mp4","https://gwc-s3.s3.amazonaws.com/1514/9148/4790/02-26-17_audio.mp3"
"Anointed Before Your Appointed","Pastor Walter T. Branch","2 Corinthians 10:12-17","2017-02-19T10:30:00","https://gwc-s3.s3.amazonaws.com/4414/9148/2467/02-19-17.mp4","https://gwc-s3.s3.amazonaws.com/3414/9148/2449/02-19-17_audio.mp3"
"Anointed Before Your Appointed","Pastor Walter T. Branch","2 Corinthians 10:12-17","2017-02-19T10:30:00","https://gwc-s3.s3.amazonaws.com/4414/9148/2467/02-19-17.mp4","https://gwc-s3.s3.amazonaws.com/7214/9148/4699/02-19-17_audio.mp3"
"Power of a Paradigm Shift","Pastor Walter T. Branch","Hebrews 11:8-12","2017-02-12T10:30:00","https://gwc-s3.s3.amazonaws.com/4714/8735/3067/02-12-17.mp4","https://gwc-s3.s3.amazonaws.com/1614/8735/3075/02-12-17_audio.mp3"
"God is Ambidextrous","Pastor Walter T. Branch","Job 23:8-10","2017-02-05T10:30:00","https://gwc-s3.s3.amazonaws.com/4914/8735/3277/02-05-17.mp4","https://gwc-s3.s3.amazonaws.com/4314/8735/3037/02-05-17_audio.mp3"
"The Power of Perception","Pastor Walter T. Branch","Mark 6:1-6","2017-01-29T10:30:00","https://gwc-s3.s3.amazonaws.com/5414/8588/7777/01-29-17.mp4","https://gwc-s3.s3.amazonaws.com/1414/8588/7779/01-29-17_audio.mp3"
"I Lost Two Coats But Now I'm in the Palace","Pastor Walter T. Branch","Genesis 37:1-8","2017-01-22T10:30:00","https://gwc-s3.s3.amazonaws.com/3414/8588/5550/01-22-17.mp4","https://gwc-s3.s3.amazonaws.com/3114/8588/5582/01-22-17_audio.mp3"
"That Time Has Arrived","Pastor Robert Prudler","Galatians 6:6-9","2017-01-15T10:30:00","https://gwc-s3.s3.amazonaws.com/4014/8588/3479/01-15-17.mp4","https://gwc-s3.s3.amazonaws.com/7714/8588/3470/01-15-17_audio.mp3"
"We Are Chosen","Pastor Walter T. Branch","1 Peter 2:6-9","2017-01-08T10:30:00","https://gwc-s3.s3.amazonaws.com/3414/8518/7313/01-08-17.mp4","https://gwc-s3.s3.amazonaws.com/4214/8518/7253/01-08-17_audio.mp3"
"The Christmas Story Part 3","Pastor Eli Mares","Isaiah 9:6","2016-12-25T10:30:00","https://gwc-s3.s3.amazonaws.com/3014/8518/7519/12-25-16.mp4","https://gwc-s3.s3.amazonaws.com/7314/8518/7312/12-25-16_audio.mp3"
"The Christmas Story Part 2","Pastor Walter T. Branch","Galatians 4:1-5","2016-12-18T10:30:00","https://gwc-s3.s3.amazonaws.com/1014/8518/7516/12-18-16.mp4","https://gwc-s3.s3.amazonaws.com/7414/8518/7311/12-18-16_audio.mp3"
"The Christmas Story Part 1","Pastor Walter T. Branch","Luke 1:26-37","2016-12-11T10:30:00","https://gwc-s3.s3.amazonaws.com/9814/8518/7510/12-11-16.mp4","https://gwc-s3.s3.amazonaws.com/6214/8518/7310/12-11-16_audio.mp3"
"Dealing With Destiny","Pastor Bill Baldwin","Matthew 14:22","2016-12-04T10:30:00","https://gwc-s3.s3.amazonaws.com/1914/8518/7504/12-04-16.mp4","https://gwc-s3.s3.amazonaws.com/8514/8518/7309/12-04-16_audio.mp3"
"Forgiveness","Pastor Walter T. Branch","1 Timothy 2:5-8","2016-11-27T10:30:00","https://gwc-s3.s3.amazonaws.com/1314/8518/7498/11-27-16.mp4","https://gwc-s3.s3.amazonaws.com/5014/8518/7307/11-27-16_audio.mp3"
